Date,Close ,Volume
12/10/2024,225.04,"31,145,600"
12/09/2024,226.09,"46,819,400"
12/06/2024,227.03,"44,178,100"
12/05/2024,220.55,"41,140,200"
12/04/2024,218.16,"48,745,700"
12/03/2024,213.44,"32,214,800"
12/02/2024,210.71,"39,523,200"
11/29/2024,207.89,"24,892,400"
11/27/2024,205.74,"28,061,600"
11/26/2024,207.86,"41,673,700"
11/25/2024,201.45,"40,685,700"
11/22/2024,197.12,"31,530,800"
11/21/2024,198.38,"58,800,000"
11/20/2024,202.88,"32,769,000"
11/19/2024,204.61,"31,197,900"
11/18/2024,201.7,"36,512,500"
11/15/2024,202.61,"86,591,100"
11/14/2024,211.48,"42,620,300"
11/13/2024,214.1,"46,212,900"
11/12/2024,208.91,"38,942,900"
11/11/2024,206.84,"35,456,000"
11/08/2024,208.18,"36,075,800"
11/07/2024,210.05,"52,878,400"
11/06/2024,207.09,"72,292,200"
11/05/2024,199.5,"30,564,800"
11/04/2024,195.78,"38,492,100"
11/01/2024,197.93,"99,687,800"
10/31/2024,186.4,"75,146,800"
10/30/2024,192.73,"37,707,600"
10/29/2024,190.83,"35,690,200"
10/28/2024,188.39,"27,930,800"
10/25/2024,187.83,"29,362,100"
10/24/2024,186.38,"21,647,400"
10/23/2024,184.71,"31,937,100"
10/22/2024,189.7,"29,650,600"
10/21/2024,189.07,"24,639,400"
10/18/2024,188.99,"37,417,700"
10/17/2024,187.53,"25,039,400"
10/16/2024,186.89,"23,456,800"
10/15/2024,187.69,"32,178,900"
10/14/2024,187.54,"22,614,400"
10/11/2024,188.82,"25,751,600"
10/10/2024,186.65,"27,785,000"
10/09/2024,185.17,"26,343,100"
10/08/2024,182.72,"26,372,100"
10/07/2024,180.8,"42,364,200"
10/04/2024,186.51,"40,890,300"
10/03/2024,181.96,"30,204,300"
10/02/2024,184.76,"23,704,100"
10/01/2024,185.13,"36,044,900"
09/30/2024,186.33,"41,583,900"
09/27/2024,187.97,"36,002,300"
09/26/2024,191.16,"36,334,900"
09/25/2024,192.53,"26,391,100"
09/24/2024,193.96,"43,478,900"
09/23/2024,193.88,"36,993,100"
09/20/2024,191.6,"100,378,600"
09/19/2024,189.87,"39,543,200"
09/18/2024,186.43,"34,448,100"
09/17/2024,186.88,"26,091,700"
09/16/2024,184.89,"26,065,500"
09/13/2024,186.49,"26,495,400"
09/12/2024,187,"33,622,500"
09/11/2024,184.52,"42,564,700"
09/10/2024,179.55,"36,233,800"
09/09/2024,175.4,"29,037,400"
09/06/2024,171.39,"41,466,500"
09/05/2024,177.89,"40,170,500"
09/04/2024,173.33,"30,309,200"
09/03/2024,176.25,"37,817,500"
08/30/2024,178.5,"43,429,400"
08/29/2024,172.12,"26,407,800"
08/28/2024,170.8,"29,045,000"
08/27/2024,173.12,"29,842,000"
08/26/2024,175.5,"22,366,200"
08/23/2024,177.04,"29,150,100"
08/22/2024,176.13,"32,047,500"
08/21/2024,180.11,"35,599,100"
08/20/2024,178.88,"26,255,200"
08/19/2024,178.22,"31,129,800"
08/16/2024,177.06,"31,489,200"
08/15/2024,177.59,"51,698,500"
08/14/2024,170.1,"28,843,800"
08/13/2024,170.23,"39,237,900"
08/12/2024,166.8,"30,072,800"
08/09/2024,166.94,"36,401,000"
08/08/2024,165.8,"44,616,200"
08/07/2024,162.77,"48,408,200"
08/06/2024,161.93,"59,950,800"
08/05/2024,161.02,"83,149,400"
08/02/2024,167.9,"141,448,400"
08/01/2024,184.07,"70,435,600"
07/31/2024,186.98,"41,667,300"
07/30/2024,181.71,"39,508,600"
07/29/2024,183.2,"33,270,100"
07/26/2024,182.5,"29,506,000"
07/25/2024,179.85,"44,464,200"
07/24/2024,180.83,"41,532,400"
07/23/2024,186.41,"47,537,700"
07/22/2024,182.55,"39,931,900"
07/19/2024,183.13,"43,081,800"
07/18/2024,183.75,"51,043,600"
07/17/2024,187.93,"48,076,100"
07/16/2024,193.02,"33,994,700"
07/15/2024,192.72,"40,683,200"
07/12/2024,194.49,"30,598,500"
07/11/2024,195.05,"44,565,000"
07/10/2024,199.79,"32,883,800"
07/09/2024,199.34,"32,700,100"
07/08/2024,199.29,"34,767,300"
07/05/2024,200,"39,858,900"
07/03/2024,197.59,"31,597,900"
07/02/2024,200,"45,600,000"
07/01/2024,197.2,"41,192,000"
06/28/2024,193.25,"76,930,200"
06/27/2024,197.85,"74,397,500"
06/26/2024,193.61,"65,103,900"
06/25/2024,186.34,"45,898,500"
06/24/2024,185.57,"50,610,400"
06/21/2024,189.08,"72,931,800"
06/20/2024,186.1,"44,726,800"
06/18/2024,182.81,"36,659,200"
06/17/2024,184.06,"35,601,900"
06/14/2024,183.66,"25,456,400"
06/13/2024,183.83,"39,721,500"
06/12/2024,186.89,"33,984,200"
06/11/2024,187.23,"27,265,100"
06/10/2024,187.06,"34,494,500"
06/07/2024,184.3,"28,021,500"
06/06/2024,185,"31,371,200"
06/05/2024,181.28,"32,116,400"
06/04/2024,179.34,"27,198,400"
06/03/2024,178.34,"30,786,600"
05/31/2024,176.44,"58,903,900"
05/30/2024,179.32,"29,249,200"
05/29/2024,182.02,"32,009,300"
05/28/2024,182.15,"29,927,000"
05/24/2024,180.75,"27,434,100"
05/23/2024,181.05,"33,670,200"
05/22/2024,183.13,"28,148,800"
05/21/2024,183.15,"50,839,100"
05/20/2024,183.54,"30,511,800"
05/17/2024,184.7,"33,175,700"
05/16/2024,183.63,"38,834,500"
05/15/2024,185.99,"75,459,900"
05/14/2024,187.07,"38,698,200"
05/13/2024,186.57,"24,898,600"
05/10/2024,187.48,"34,141,800"
05/09/2024,189.5,"43,368,400"
05/08/2024,188,"26,136,400"
05/07/2024,188.76,"34,048,900"
05/06/2024,188.7,"34,725,300"
05/03/2024,186.21,"39,172,000"
05/02/2024,184.72,"54,303,500"
05/01/2024,179,"94,645,100"
04/30/2024,175,"94,639,800"
04/29/2024,180.96,"54,063,900"
04/26/2024,179.62,"43,919,800"
04/25/2024,173.67,"49,249,400"
04/24/2024,176.59,"34,185,100"
04/23/2024,179.54,"37,046,500"
04/22/2024,177.23,"37,924,900"
04/19/2024,174.63,"55,950,000"
04/18/2024,179.22,"30,723,800"
04/17/2024,181.28,"31,359,700"
04/16/2024,183.32,"32,891,300"
04/15/2024,183.62,"48,052,400"
04/12/2024,186.13,"38,554,300"
04/11/2024,189.05,"40,020,700"
04/10/2024,185.95,"35,879,200"
04/09/2024,185.67,"36,546,900"
04/08/2024,185.19,"39,221,300"
04/05/2024,185.07,"42,335,200"
04/04/2024,180,"41,624,300"
04/03/2024,182.41,"31,046,600"
04/02/2024,180.69,"32,611,500"
04/01/2024,180.97,"29,174,500"
03/28/2024,180.38,"38,051,600"
03/27/2024,179.83,"33,272,600"
03/26/2024,178.3,"29,659,000"
03/25/2024,179.71,"29,815,500"
03/22/2024,178.87,"27,964,100"
03/21/2024,178.15,"32,824,300"
03/20/2024,178.15,"29,947,200"
03/19/2024,175.9,"26,880,900"
03/18/2024,174.48,"31,250,700"
03/15/2024,174.42,"72,115,500"
03/14/2024,178.75,"43,705,800"
03/13/2024,176.56,"30,772,600"
03/12/2024,175.39,"36,610,600"
03/11/2024,171.96,"28,484,800"
03/08/2024,175.35,"37,853,500"
03/07/2024,176.82,"34,063,300"
03/06/2024,173.51,"32,090,900"
03/05/2024,174.12,"37,228,300"
03/04/2024,177.58,"37,381,500"
03/01/2024,178.22,"31,956,200"
02/29/2024,176.76,"53,805,400"
02/28/2024,173.16,"28,180,500"
02/27/2024,173.54,"31,141,700"
02/26/2024,174.73,"44,368,600"
02/23/2024,174.99,"59,715,200"
02/22/2024,174.58,"55,392,400"
02/21/2024,168.59,"44,575,600"
02/20/2024,167.08,"41,980,300"
02/16/2024,169.51,"48,074,600"
02/15/2024,169.8,"49,855,200"
02/14/2024,170.98,"42,815,500"
02/13/2024,168.64,"56,345,100"
02/12/2024,172.34,"51,050,400"
02/09/2024,174.45,"56,986,000"
02/08/2024,169.84,"42,316,500"
02/07/2024,170.53,"47,174,100"
02/06/2024,169.15,"42,505,500"
02/05/2024,170.31,"55,081,300"
02/02/2024,171.81,"117,154,900"
02/01/2024,159.28,"76,542,400"
01/31/2024,155.2,"50,284,400"
01/30/2024,159,"45,207,400"
01/29/2024,161.26,"45,270,400"
01/26/2024,159.12,"51,047,400"
01/25/2024,157.75,"43,638,600"
01/24/2024,156.87,"48,547,300"
01/23/2024,156.02,"37,986,000"
01/22/2024,154.78,"43,687,500"
01/19/2024,155.34,"51,033,700"
01/18/2024,153.5,"37,850,200"
01/17/2024,151.71,"34,953,400"
01/16/2024,153.16,"41,384,600"
01/12/2024,154.62,"40,460,300"
01/11/2024,155.18,"49,072,700"
01/10/2024,153.73,"44,421,800"
01/09/2024,151.37,"43,812,600"
01/08/2024,149.1,"46,757,100"
01/05/2024,145.24,"45,124,800"
01/04/2024,144.57,"56,039,800"
01/03/2024,148.47,"49,425,500"
01/02/2024,149.93,"47,339,400"
12/29/2023,151.94,"39,789,000"
12/28/2023,153.38,"27,057,000"
12/27/2023,153.34,"31,434,700"
12/26/2023,153.41,"25,067,200"
12/22/2023,153.42,"29,480,100"
12/21/2023,153.84,"36,305,700"
12/20/2023,152.12,"50,322,100"
12/19/2023,153.79,"43,171,300"
12/18/2023,154.07,"62,512,800"
12/15/2023,149.97,"110,039,100"
12/14/2023,147.42,"58,400,800"
12/13/2023,148.84,"52,766,200"
12/12/2023,147.48,"44,944,300"
12/11/2023,145.89,"50,907,300"
