Date,Close ,Volume
12/10/2024,24.36,"6,755,900"
12/09/2024,25.99,"17,469,400"
12/06/2024,25.32,"13,138,200"
12/05/2024,22.51,"7,268,600"
12/04/2024,22.64,"5,424,900"
12/03/2024,22.91,"5,818,600"
12/02/2024,23.22,"7,411,200"
11/29/2024,23.81,"4,272,800"
11/27/2024,23.29,"6,972,000"
11/26/2024,23.39,"8,295,100"
11/25/2024,24.21,"10,795,300"
11/22/2024,24.1,"6,095,400"
11/21/2024,24.14,"11,425,100"
11/20/2024,23.58,"9,313,000"
11/19/2024,26.14,"7,412,500"
11/18/2024,25.8,"14,527,800"
11/15/2024,24.23,"17,840,000"
11/14/2024,26.8,"18,254,900"
11/13/2024,27.89,"26,559,500"
11/12/2024,24.26,"7,179,500"
11/11/2024,24.76,"11,105,800"
11/08/2024,21.99,"7,363,900"
11/07/2024,21.45,"21,948,000"
11/06/2024,22.52,"10,198,300"
11/05/2024,24.13,"6,504,200"
11/04/2024,23.94,"6,580,900"
11/01/2024,23.85,"5,993,100"
10/31/2024,23.81,"6,876,100"
10/30/2024,25.13,"9,268,400"
10/29/2024,26.98,"5,845,200"
10/28/2024,26.73,"8,941,600"
10/25/2024,25.62,"14,701,900"
10/24/2024,25.07,"23,926,300"
10/23/2024,26.26,"7,575,600"
10/22/2024,27.89,"10,984,900"
10/21/2024,27.64,"9,805,300"
10/18/2024,28.14,"7,996,300"
10/17/2024,28.49,"11,169,500"
10/16/2024,28.22,"14,435,000"
10/15/2024,24.25,"7,848,300"
10/14/2024,25.12,"11,297,100"
10/11/2024,24.18,"7,292,900"
10/10/2024,23.07,"7,198,900"
10/09/2024,22.61,"9,425,500"
10/08/2024,24.2,"6,489,900"
10/07/2024,24.91,"9,119,700"
10/04/2024,26.11,"12,388,100"
10/03/2024,23.22,"9,619,700"
10/02/2024,23.84,"8,763,000"
10/01/2024,24.1,"12,264,200"
09/30/2024,26.15,"15,948,000"
09/27/2024,25.32,"24,274,100"
09/26/2024,23.83,"9,862,100"
09/25/2024,24.39,"10,986,100"
09/24/2024,25.85,"8,430,000"
09/23/2024,26.61,"7,277,600"
09/20/2024,26.5,"18,870,200"
09/19/2024,28.61,"14,703,300"
09/18/2024,28.3,"10,937,500"
09/17/2024,28,"13,548,400"
09/16/2024,29.84,"13,323,900"
09/13/2024,29.83,"25,794,500"
09/12/2024,26.79,"25,223,800"
09/11/2024,27.9,"16,135,000"
09/10/2024,26.11,"15,132,500"
09/09/2024,25.94,"13,431,400"
09/06/2024,26.11,"17,645,500"
09/05/2024,28.45,"41,445,700"
09/04/2024,33.08,"43,765,000"
09/03/2024,29.41,"9,855,500"
08/30/2024,29.04,"16,165,900"
08/29/2024,29.25,"15,876,500"
08/28/2024,27.87,"20,565,800"
08/27/2024,31.11,"14,778,800"
08/26/2024,33.78,"17,618,600"
08/23/2024,32.86,"25,736,700"
08/22/2024,34.14,"20,021,700"
08/21/2024,36.44,"36,381,900"
08/20/2024,34.32,"32,419,000"
08/19/2024,38.6,"37,779,900"
08/16/2024,31.03,"68,766,300"
08/15/2024,31.36,"75,966,100"
08/14/2024,20.81,"10,504,900"
08/13/2024,20.96,"7,373,000"
08/12/2024,19.73,"11,265,500"
08/09/2024,21.21,"14,796,200"
08/08/2024,22.32,"13,369,100"
08/07/2024,19.64,"14,939,100"
08/06/2024,19.53,"10,259,700"
08/05/2024,18.59,"15,062,700"
08/02/2024,18.51,"10,146,500"
08/01/2024,20.44,"14,930,000"
07/31/2024,20.68,"16,767,300"
07/30/2024,17.52,"12,631,400"
07/29/2024,18.87,"13,037,200"
07/26/2024,18.84,"24,661,200"
07/25/2024,16.64,"23,048,900"
07/24/2024,13.36,"5,420,900"
07/23/2024,13.84,"8,703,900"
07/22/2024,12.8,"4,177,000"
07/19/2024,12.84,"5,369,600"
07/18/2024,12.38,"6,762,400"
