Date,Close ,Volume
12/11/2023,134.7,24502900
12/12/2023,133.64,26584000
12/13/2023,133.97,25414500
12/14/2023,133.2,29619100
12/15/2023,133.84,58569400
12/18/2023,137.19,25699800
12/19/2023,138.1,20661000
12/20/2023,139.66,33507300
12/21/2023,141.8,18101500
12/22/2023,142.72,18494700
12/26/2023,142.82,11170100
12/27/2023,141.44,17288400
12/28/2023,141.28,12192500
12/29/2023,140.93,14872700
1/2/2024,139.56,20071900
1/3/2024,140.36,18974300
1/4/2024,138.04,18253300
1/5/2024,137.39,15433200
1/8/2024,140.53,17645300
1/9/2024,142.56,19579700
1/10/2024,143.8,16641900
1/11/2024,143.67,17471100
1/12/2024,144.24,13995200
1/16/2024,144.08,19198900
1/17/2024,142.89,17884500
1/18/2024,144.99,18876800
1/19/2024,147.97,27170900
1/22/2024,147.71,21829200
1/23/2024,148.68,14113600
1/24/2024,150.35,19245000
1/25/2024,153.64,21495100
1/26/2024,153.79,19494500
1/29/2024,154.84,20909300
1/30/2024,153.05,26578900
1/31/2024,141.8,43908600
2/1/2024,142.71,25526900
2/2/2024,143.54,42116900
2/5/2024,144.93,29254400
2/6/2024,145.41,21517700
2/7/2024,146.68,21436100
2/8/2024,147.22,18241300
2/9/2024,150.22,21877700
2/12/2024,148.73,17236100
2/13/2024,146.37,18138500
2/14/2024,147.14,16651800
2/15/2024,143.94,26724300
2/16/2024,141.76,21849700
2/20/2024,142.2,18625600
2/21/2024,143.84,16499600
2/22/2024,145.32,23024700
2/23/2024,145.29,14519400
2/26/2024,138.75,33513000
2/27/2024,140.1,22364000
2/28/2024,137.43,30628700
2/29/2024,139.78,35485000
3/1/2024,138.08,28522000
3/4/2024,134.2,43571500
3/5/2024,133.78,28447600
3/6/2024,132.56,23175200
3/7/2024,135.24,24107300
3/8/2024,136.29,26472400
3/11/2024,138.94,22536400
3/12/2024,139.62,19019700
3/13/2024,140.77,19637000
3/14/2024,144.34,36117900
3/15/2024,142.17,41025900
3/18/2024,148.48,47676700
3/19/2024,147.92,17748400
3/20/2024,149.68,17730000
3/21/2024,148.74,19843900
3/22/2024,151.77,19226300
3/25/2024,151.15,15114700
3/26/2024,151.7,19312700
3/27/2024,151.94,16622000
3/28/2024,152.26,21105600
4/1/2024,156.5,24469800
4/2/2024,155.87,17598100
4/3/2024,156.37,17266200
4/4/2024,151.94,24184800
4/5/2024,153.94,16289800
4/8/2024,156.14,16641500
4/9/2024,158.14,21538100
4/10/2024,157.66,16339200
4/11/2024,160.79,17841700
4/12/2024,159.19,16968200
4/15/2024,156.33,21140900
4/16/2024,156,15413200
4/17/2024,156.88,16237800
4/18/2024,157.46,14016100
4/19/2024,155.72,20063900
4/22/2024,157.95,17243900
4/23/2024,159.92,16115400
4/24/2024,161.1,19485700
4/25/2024,157.95,36197800
4/26/2024,173.69,56500800
4/29/2024,167.9,35914600
4/30/2024,164.64,29420800
5/1/2024,165.57,25223200
5/2/2024,168.46,17041100
5/3/2024,168.99,22767100
5/6/2024,169.83,15147900
5/7/2024,172.98,21102400
5/8/2024,171.16,14569900
5/9/2024,171.58,11937700
5/10/2024,170.29,18740500
5/13/2024,170.9,19648600
5/14/2024,171.93,18729500
5/15/2024,173.88,20958200
5/16/2024,175.43,17247300
5/17/2024,177.29,16546400
5/20/2024,178.46,17495100
5/21/2024,179.54,14706000
5/22/2024,178,16189400
5/23/2024,175.06,14928400
5/24/2024,176.33,11400600
5/28/2024,178.02,15655300
5/29/2024,177.4,15023800
5/30/2024,173.56,18844000
5/31/2024,173.96,28085200
6/3/2024,174.42,20742800
6/4/2024,175.13,14066600
6/5/2024,177.07,15233900
