Date,Close ,Volume
12/10/2024,619.32,"10,922,800"
12/09/2024,613.57,"11,426,000"
12/06/2024,623.77,"16,935,500"
12/05/2024,608.93,"8,081,200"
12/04/2024,613.78,"14,697,000"
12/03/2024,613.65,"14,907,200"
12/02/2024,592.83,"12,522,400"
11/29/2024,574.32,"7,130,500"
11/27/2024,569.2,"7,200,200"
11/26/2024,573.54,"10,356,600"
11/25/2024,565.11,"13,599,800"
11/22/2024,559.14,"9,164,000"
11/21/2024,563.09,"11,154,700"
11/20/2024,565.52,"9,797,300"
11/19/2024,561.09,"9,522,400"
11/18/2024,554.4,"14,346,700"
11/15/2024,554.08,"17,712,900"
11/14/2024,577.16,"11,053,700"
11/13/2024,580,"10,757,600"
11/12/2024,584.82,"16,287,700"
11/11/2024,583.17,"10,209,100"
11/08/2024,589.34,"9,415,700"
11/07/2024,591.7,"14,653,700"
11/06/2024,572.05,"18,305,400"
11/05/2024,572.43,"9,775,400"
11/04/2024,560.68,"12,064,600"
11/01/2024,567.16,"15,303,200"
10/31/2024,567.58,"26,838,400"
10/30/2024,591.8,"26,864,900"
10/29/2024,593.28,"13,019,100"
10/28/2024,578.16,"10,925,100"
10/25/2024,573.25,"11,337,900"
10/24/2024,567.78,"7,184,700"
10/23/2024,563.69,"14,248,400"
10/22/2024,582.01,"8,544,500"
10/21/2024,575.16,"8,171,900"
10/18/2024,576.47,"7,694,300"
10/17/2024,576.93,"8,701,200"
10/16/2024,576.79,"11,268,400"
10/15/2024,586.27,"9,564,200"
10/14/2024,590.42,"8,252,000"
10/11/2024,589.95,"8,587,100"
10/10/2024,583.83,"7,740,400"
10/09/2024,590.51,"9,529,700"
10/08/2024,592.89,"7,857,400"
10/07/2024,584.78,"12,014,200"
10/04/2024,595.94,"14,169,500"
10/03/2024,582.77,"11,581,000"
10/02/2024,572.81,"6,524,700"
10/01/2024,576.47,"15,259,300"
09/30/2024,572.44,"12,792,300"
09/27/2024,567.36,"9,398,400"
09/26/2024,567.84,"14,400,800"
09/25/2024,568.31,"16,543,400"
09/24/2024,563.33,"12,993,000"
09/23/2024,564.41,"12,830,700"
09/20/2024,561.35,"22,066,800"
09/19/2024,559.1,"15,647,000"
09/18/2024,537.95,"10,323,500"
09/17/2024,536.32,"11,690,800"
09/16/2024,533.28,"9,527,600"
09/13/2024,524.62,"10,321,400"
09/12/2024,525.6,"11,993,300"
09/11/2024,511.83,"10,782,500"
09/10/2024,504.79,"9,899,000"
09/09/2024,504.79,"11,047,800"
09/06/2024,500.27,"14,744,500"
09/05/2024,516.86,"8,640,900"
09/04/2024,512.74,"8,335,200"
09/03/2024,511.76,"12,459,100"
08/30/2024,521.31,"9,157,500"
08/29/2024,518.22,"8,317,400"
08/28/2024,516.78,"9,106,100"
08/27/2024,519.1,"6,282,700"
08/26/2024,521.12,"9,584,000"
08/23/2024,528,"11,323,900"
08/22/2024,531.93,"15,708,300"
08/21/2024,535.16,"13,423,300"
08/20/2024,526.73,"7,944,400"
08/19/2024,529.28,"9,879,700"
08/16/2024,527.42,"14,776,700"
08/15/2024,537.33,"13,482,100"
08/14/2024,526.76,"11,444,200"
08/13/2024,528.54,"13,743,800"
08/12/2024,515.95,"9,767,400"
08/09/2024,517.77,"13,696,600"
08/08/2024,509.63,"16,156,800"
08/07/2024,488.92,"20,105,300"
08/06/2024,494.09,"20,955,000"
08/05/2024,475.73,"21,396,200"
08/02/2024,488.14,"24,044,700"
08/01/2024,497.74,"43,083,100"
07/31/2024,474.83,"24,285,800"
07/30/2024,463.19,"11,390,400"
07/29/2024,465.71,"11,339,600"
07/26/2024,465.7,"14,222,400"
07/25/2024,453.41,"18,240,500"
07/24/2024,461.27,"17,649,700"
07/23/2024,488.69,"9,455,500"
07/22/2024,487.4,"12,023,100"
07/19/2024,476.79,"15,149,400"
07/18/2024,475.85,"19,267,200"
07/17/2024,461.99,"28,076,600"
07/16/2024,489.79,"14,075,800"
07/15/2024,496.16,"12,539,200"
07/12/2024,498.87,"19,750,500"
07/11/2024,512.7,"16,458,300"
07/10/2024,534.69,"10,983,300"
07/09/2024,530,"8,753,200"
07/08/2024,529.32,"14,917,500"
07/05/2024,539.91,"21,354,100"
07/03/2024,509.96,"6,005,600"
07/02/2024,509.5,"7,739,500"
07/01/2024,504.68,"10,328,200"
06/28/2024,504.22,"15,855,100"
06/27/2024,519.56,"10,121,200"
06/26/2024,513.12,"8,882,300"
06/25/2024,510.6,"12,109,800"
06/24/2024,498.91,"13,525,300"
06/21/2024,494.78,"23,130,700"
06/20/2024,501.7,"11,801,200"
06/18/2024,499.49,"13,060,400"
06/17/2024,506.63,"11,266,600"
06/14/2024,504.16,"10,243,300"
06/13/2024,504.1,"9,954,600"
06/12/2024,508.84,"11,983,200"
06/11/2024,507.47,"9,673,700"
06/10/2024,502.6,"11,236,900"
06/07/2024,492.96,"9,380,700"
06/06/2024,493.76,"10,667,300"
06/05/2024,495.06,"15,690,500"
06/04/2024,476.99,"7,088,700"
06/03/2024,477.49,"11,279,400"
05/31/2024,466.83,"16,919,800"
05/30/2024,467.05,"10,735,200"
05/29/2024,474.36,"9,226,200"
05/28/2024,479.92,"10,175,800"
05/24/2024,478.22,"12,012,300"
05/23/2024,465.78,"11,747,900"
05/22/2024,467.78,"10,078,600"
05/21/2024,464.63,"11,742,200"
05/20/2024,468.84,"11,745,100"
05/17/2024,471.91,"10,807,300"
05/16/2024,473.23,"16,608,200"
05/15/2024,481.54,"13,100,500"
05/14/2024,471.85,"10,478,600"
05/13/2024,468.01,"14,668,800"
05/10/2024,476.2,"10,750,000"
05/09/2024,475.42,"9,437,700"
05/08/2024,472.6,"11,683,900"
05/07/2024,468.24,"13,406,800"
05/06/2024,465.68,"15,094,600"
05/03/2024,451.96,"16,489,100"
05/02/2024,441.68,"15,221,300"
05/01/2024,439.19,"20,344,900"
04/30/2024,430.17,"18,429,500"
04/29/2024,432.62,"21,502,600"
04/26/2024,443.29,"32,691,400"
04/25/2024,441.38,"82,890,700"
04/24/2024,493.5,"37,772,700"
04/23/2024,496.1,"15,079,200"
04/22/2024,481.73,"17,271,100"
04/19/2024,481.07,"25,111,000"
04/18/2024,501.8,"14,808,700"
04/17/2024,494.17,"12,193,700"
04/16/2024,499.76,"9,847,900"
04/15/2024,500.23,"13,512,900"
04/12/2024,511.9,"11,944,900"
04/11/2024,523.16,"10,369,500"
04/10/2024,519.83,"11,418,500"
04/09/2024,516.9,"10,881,400"
04/08/2024,519.25,"13,260,600"
04/05/2024,527.34,"19,242,000"
04/04/2024,510.92,"26,476,300"
04/03/2024,506.74,"12,099,200"
04/02/2024,497.37,"11,081,000"
04/01/2024,491.35,"9,247,000"
03/28/2024,485.58,"15,212,800"
03/27/2024,493.86,"9,989,700"
03/26/2024,495.89,"11,205,400"
03/25/2024,503.02,"8,380,600"
03/22/2024,509.58,"8,117,000"
03/21/2024,507.76,"9,712,500"
03/20/2024,505.52,"11,711,100"
03/19/2024,496.24,"10,903,100"
03/18/2024,496.98,"11,755,300"
03/15/2024,484.1,"29,141,700"
03/14/2024,491.83,"12,620,000"
