Date,Close�,Volume
12/11/2023,461.99,141319300
12/12/2023,464.1,119026000
12/13/2023,470.5,70375300
12/14/2023,472.01,55761800
12/15/2023,469.33,102921000
12/18/2023,471.97,86667500
12/19/2023,474.84,67126600
12/20/2023,468.26,55387000
12/21/2023,472.7,68000300
12/22/2023,473.65,77158100
12/26/2023,475.65,122234100
12/27/2023,476.51,123623700
12/28/2023,476.69,103585900
12/29/2023,475.31,84232200
1/2/2024,472.65,86060800
1/3/2024,468.79,74879100
1/4/2024,467.28,65931400
1/5/2024,467.92,67310600
1/8/2024,474.6,77940700
1/9/2024,473.88,57944000
1/10/2024,476.56,85014900
1/11/2024,476.35,68843900
1/12/2024,476.68,91856200
1/16/2024,474.93,110733300
1/17/2024,472.29,75844900
1/18/2024,476.49,49945300
1/19/2024,482.43,81765000
1/22/2024,483.45,72525000
1/23/2024,484.86,76641600
1/24/2024,485.39,61322800
1/25/2024,488.03,58618400
1/26/2024,487.41,126011100
1/29/2024,491.27,91891600
1/30/2024,490.89,99147700
1/31/2024,482.88,75757100
2/1/2024,489.2,55918600
2/2/2024,494.35,70556500
2/5/2024,492.55,52343600
2/6/2024,493.98,63979400
2/7/2024,498.1,56502300
2/8/2024,498.32,113099200
2/9/2024,501.2,68387800
2/12/2024,500.98,61683000
2/13/2024,494.08,75461200
2/14/2024,498.57,71736700
2/15/2024,502.01,59603800
2/16/2024,499.51,76402500
2/20/2024,496.76,61321800
2/21/2024,497.21,50386700
2/22/2024,507.5,48854500
2/23/2024,507.85,56506600
2/26/2024,505.99,83924800
2/27/2024,506.93,76805900
2/28/2024,506.26,49799300
2/29/2024,508.08,72855600
3/1/2024,512.85,68382400
3/4/2024,512.3,58652100
3/5/2024,507.18,86425500
3/6/2024,509.75,62557200
3/7/2024,514.81,73114400
3/8/2024,511.72,55104100
3/11/2024,511.28,110171800
3/12/2024,516.78,107585800
3/13/2024,515.97,93278000
3/14/2024,514.95,88893300
3/15/2024,509.83,60755300
3/18/2024,512.86,69594600
3/19/2024,515.71,60256100
3/20/2024,520.48,79023000
3/21/2024,522.2,48512100
3/22/2024,521.21,65463700
3/25/2024,519.77,82999800
3/26/2024,518.81,96294900
3/27/2024,523.17,62477500
3/28/2024,523.07,74230300
4/1/2024,522.16,59155800
4/2/2024,518.84,96858100
4/3/2024,519.41,74482100
4/4/2024,513.07,48401800
4/5/2024,518.43,68124400
4/8/2024,518.72,82652800
4/9/2024,519.32,70099000
4/10/2024,514.12,92469100
4/11/2024,518,92101400
4/12/2024,510.85,73484000
4/15/2024,504.45,75910300
4/16/2024,503.53,74548100
4/17/2024,500.55,102129100
4/18/2024,499.52,67961000
4/19/2024,495.16,64633600
4/22/2024,499.72,55928100
4/23/2024,505.65,69122400
