Date,Close ,Volume
12/10/2024,400.99,"97,336,300"
12/09/2024,389.79,"96,359,200"
12/06/2024,389.22,"81,455,800"
12/05/2024,369.49,"81,403,600"
12/04/2024,357.93,"50,810,900"
12/03/2024,351.42,"58,267,200"
12/02/2024,357.09,"77,986,500"
11/29/2024,345.16,"37,167,600"
11/27/2024,332.89,"57,896,400"
11/26/2024,338.23,"62,295,900"
11/25/2024,338.59,"95,890,900"
11/22/2024,352.56,"89,140,700"
11/21/2024,339.64,"58,011,700"
11/20/2024,342.03,"66,340,700"
11/19/2024,346,"88,852,500"
11/18/2024,338.74,"126,547,500"
11/15/2024,320.72,"114,440,300"
11/14/2024,311.18,"120,726,100"
11/13/2024,330.24,"125,405,600"
11/12/2024,328.49,"155,726,000"
11/11/2024,350,"210,521,600"
11/08/2024,321.22,"204,782,800"
11/07/2024,296.91,"117,309,200"
11/06/2024,288.53,"165,228,700"
11/05/2024,251.44,"69,282,500"
11/04/2024,242.84,"68,802,400"
11/01/2024,248.98,"57,544,800"
10/31/2024,249.85,"66,575,300"
10/30/2024,257.55,"53,993,600"
10/29/2024,259.52,"80,521,800"
10/28/2024,262.51,"107,653,600"
10/25/2024,269.19,"161,611,900"
10/24/2024,260.48,"204,491,900"
10/23/2024,213.65,"80,938,900"
10/22/2024,217.97,"43,268,700"
10/21/2024,218.85,"47,329,000"
10/18/2024,220.7,"49,611,900"
10/17/2024,220.89,"50,791,800"
10/16/2024,221.33,"49,632,800"
10/15/2024,219.57,"62,988,800"
10/14/2024,219.16,"86,291,900"
10/11/2024,217.8,"142,628,900"
10/10/2024,238.77,"83,087,100"
10/09/2024,241.05,"66,289,500"
10/08/2024,244.5,"56,303,200"
10/07/2024,240.83,"68,113,300"
10/04/2024,250.08,"86,573,200"
10/03/2024,240.66,"80,729,200"
10/02/2024,249.02,"93,983,900"
10/01/2024,258.02,"87,397,600"
09/30/2024,261.63,"80,705,700"
09/27/2024,260.46,"70,988,100"
09/26/2024,254.22,"67,142,200"
09/25/2024,257.02,"65,034,300"
09/24/2024,254.27,"88,491,000"
